seed,status,new_edges,total_edges
claude_b00_c00.xml,BAD (redundant),0,1980
claude_b00_c01.xml,BAD (redundant),0,1026
claude_b00_c02.xml,BAD (redundant),0,1516
claude_b01_c00.xml,GOOD (novel coverage),25,1930
claude_b01_c01.xml,BAD (redundant),0,1070
claude_b01_c02.xml,BAD (redundant),0,1612
claude_b02_c00.xml,BAD (redundant),0,1959
claude_b02_c01.xml,BAD (redundant),0,1225
claude_b02_c02.xml,BAD (redundant),0,1120
claude_b03_c00.xml,BAD (redundant),0,1950
claude_b03_c01.xml,BAD (redundant),0,1128
claude_b03_c02.xml,BAD (redundant),0,1385
claude_b04_c00.xml,BAD (redundant),0,2052
claude_b04_c01.xml,BAD (redundant),0,1268
claude_b04_c02.xml,BAD (redundant),0,1381
claude_b05_c00.xml,GOOD (novel coverage),25,2038
claude_b06_c00.xml,GOOD (novel coverage),25,2102
claude_b07_c00.xml,GOOD (novel coverage),25,2010
claude_b07_c01.xml,BAD (redundant),0,1549
claude_b07_c02.xml,BAD (redundant),0,943
claude_b08_c00.xml,GOOD (novel coverage),25,2034
claude_b09_c00.xml,GOOD (novel coverage),25,1908
claude_b09_c01.xml,BAD (redundant),0,1170
claude_b09_c02.xml,BAD (redundant),0,1471
