provider,model,batch,cand,file,flat_name,bytes,well_formed,finish_reason,truncated,n_parsed,elapsed_s,cov_status,new_edges,total_edges
claude,claude-sonnet-5,0,0,claude/batch_00/seed_00.xml,claude_b00_c00.xml,1023,False,end_turn,False,3,14.8,BAD (redundant),0,1980
claude,claude-sonnet-5,0,1,claude/batch_00/seed_01.xml,claude_b00_c01.xml,744,False,end_turn,False,3,14.8,BAD (redundant),0,1026
claude,claude-sonnet-5,0,2,claude/batch_00/seed_02.xml,claude_b00_c02.xml,601,True,end_turn,False,3,14.8,BAD (redundant),0,1516
claude,claude-sonnet-5,1,0,claude/batch_01/seed_00.xml,claude_b01_c00.xml,705,True,end_turn,False,3,10.9,GOOD (novel coverage),25,1930
claude,claude-sonnet-5,1,1,claude/batch_01/seed_01.xml,claude_b01_c01.xml,581,True,end_turn,False,3,10.9,BAD (redundant),0,1070
claude,claude-sonnet-5,1,2,claude/batch_01/seed_02.xml,claude_b01_c02.xml,666,True,end_turn,False,3,10.9,BAD (redundant),0,1612
claude,claude-sonnet-5,2,0,claude/batch_02/seed_00.xml,claude_b02_c00.xml,1188,True,end_turn,False,3,16.7,BAD (redundant),0,1959
claude,claude-sonnet-5,2,1,claude/batch_02/seed_01.xml,claude_b02_c01.xml,1003,True,end_turn,False,3,16.7,BAD (redundant),0,1225
claude,claude-sonnet-5,2,2,claude/batch_02/seed_02.xml,claude_b02_c02.xml,1014,True,end_turn,False,3,16.7,BAD (redundant),0,1120
claude,claude-sonnet-5,3,0,claude/batch_03/seed_00.xml,claude_b03_c00.xml,921,True,end_turn,False,3,14.3,BAD (redundant),0,1950
claude,claude-sonnet-5,3,1,claude/batch_03/seed_01.xml,claude_b03_c01.xml,813,True,end_turn,False,3,14.3,BAD (redundant),0,1128
claude,claude-sonnet-5,3,2,claude/batch_03/seed_02.xml,claude_b03_c02.xml,810,True,end_turn,False,3,14.3,BAD (redundant),0,1385
claude,claude-sonnet-5,4,0,claude/batch_04/seed_00.xml,claude_b04_c00.xml,1075,True,end_turn,False,3,15.9,BAD (redundant),0,2052
claude,claude-sonnet-5,4,1,claude/batch_04/seed_01.xml,claude_b04_c01.xml,886,False,end_turn,False,3,15.9,BAD (redundant),0,1268
claude,claude-sonnet-5,4,2,claude/batch_04/seed_02.xml,claude_b04_c02.xml,974,True,end_turn,False,3,15.9,BAD (redundant),0,1381
claude,claude-sonnet-5,5,0,claude/batch_05/seed_00.xml,claude_b05_c00.xml,1059,False,max_tokens,True,1,96.7,GOOD (novel coverage),25,2038
claude,claude-sonnet-5,6,0,claude/batch_06/seed_00.xml,claude_b06_c00.xml,938,False,max_tokens,True,1,96.9,GOOD (novel coverage),25,2102
claude,claude-sonnet-5,7,0,claude/batch_07/seed_00.xml,claude_b07_c00.xml,990,True,end_turn,False,3,15.7,GOOD (novel coverage),25,2010
claude,claude-sonnet-5,7,1,claude/batch_07/seed_01.xml,claude_b07_c01.xml,761,True,end_turn,False,3,15.7,BAD (redundant),0,1549
claude,claude-sonnet-5,7,2,claude/batch_07/seed_02.xml,claude_b07_c02.xml,765,False,end_turn,False,3,15.7,BAD (redundant),0,943
claude,claude-sonnet-5,8,0,claude/batch_08/seed_00.xml,claude_b08_c00.xml,971,True,max_tokens,True,1,96.1,GOOD (novel coverage),25,2034
claude,claude-sonnet-5,9,0,claude/batch_09/seed_00.xml,claude_b09_c00.xml,738,True,end_turn,False,3,13.2,GOOD (novel coverage),25,1908
claude,claude-sonnet-5,9,1,claude/batch_09/seed_01.xml,claude_b09_c01.xml,691,True,end_turn,False,3,13.2,BAD (redundant),0,1170
claude,claude-sonnet-5,9,2,claude/batch_09/seed_02.xml,claude_b09_c02.xml,591,True,end_turn,False,3,13.2,BAD (redundant),0,1471
