seed,status,new_edges,total_edges
gemini_b00_c00.xml,BAD (redundant),0,1263
gemini_b00_c01.xml,BAD (redundant),0,1251
gemini_b00_c02.xml,BAD (redundant),0,1329
gemini_b01_c00.xml,BAD (redundant),0,1144
gemini_b01_c01.xml,BAD (redundant),0,964
gemini_b01_c02.xml,BAD (redundant),0,922
gemini_b02_c00.xml,BAD (redundant),0,1154
gemini_b02_c01.xml,BAD (redundant),0,1077
gemini_b02_c02.xml,BAD (redundant),0,1586
gemini_b03_c00.xml,BAD (redundant),0,1179
gemini_b03_c01.xml,BAD (redundant),0,904
gemini_b03_c02.xml,BAD (redundant),0,1155
gemini_b04_c00.xml,BAD (redundant),0,960
gemini_b04_c01.xml,BAD (redundant),0,1226
gemini_b04_c02.xml,BAD (redundant),0,890
gemini_b05_c00.xml,BAD (redundant),0,1295
gemini_b05_c01.xml,BAD (redundant),0,1206
gemini_b05_c02.xml,BAD (redundant),0,801
gemini_b06_c00.xml,BAD (redundant),0,1152
gemini_b06_c01.xml,BAD (redundant),0,1108
gemini_b06_c02.xml,BAD (redundant),0,915
gemini_b07_c00.xml,BAD (redundant),0,1089
gemini_b07_c01.xml,BAD (redundant),0,983
gemini_b07_c02.xml,BAD (redundant),0,954
gemini_b08_c00.xml,BAD (redundant),0,959
gemini_b08_c01.xml,BAD (redundant),0,1452
gemini_b08_c02.xml,BAD (redundant),0,923
gemini_b09_c00.xml,BAD (redundant),0,1156
gemini_b09_c01.xml,BAD (redundant),0,921
gemini_b09_c02.xml,BAD (redundant),0,1061
