provider,model,batch,cand,file,flat_name,bytes,well_formed,finish_reason,truncated,n_parsed,elapsed_s,cov_status,new_edges,total_edges
gemini,(pre-existing),0,0,,gemini_b00_c00.xml,448,False,,,,,BAD (redundant),0,1263
gemini,(pre-existing),0,1,,gemini_b00_c01.xml,297,True,,,,,BAD (redundant),0,1251
gemini,(pre-existing),0,2,,gemini_b00_c02.xml,267,True,,,,,BAD (redundant),0,1329
gemini,(pre-existing),1,0,,gemini_b01_c00.xml,318,True,,,,,BAD (redundant),0,1144
gemini,(pre-existing),1,1,,gemini_b01_c01.xml,257,True,,,,,BAD (redundant),0,964
gemini,(pre-existing),1,2,,gemini_b01_c02.xml,236,True,,,,,BAD (redundant),0,922
gemini,(pre-existing),2,0,,gemini_b02_c00.xml,436,True,,,,,BAD (redundant),0,1154
gemini,(pre-existing),2,1,,gemini_b02_c01.xml,353,False,,,,,BAD (redundant),0,1077
gemini,(pre-existing),2,2,,gemini_b02_c02.xml,552,True,,,,,BAD (redundant),0,1586
gemini,(pre-existing),3,0,,gemini_b03_c00.xml,255,False,,,,,BAD (redundant),0,1179
gemini,(pre-existing),3,1,,gemini_b03_c01.xml,225,True,,,,,BAD (redundant),0,904
gemini,(pre-existing),3,2,,gemini_b03_c02.xml,269,True,,,,,BAD (redundant),0,1155
gemini,(pre-existing),4,0,,gemini_b04_c00.xml,270,True,,,,,BAD (redundant),0,960
gemini,(pre-existing),4,1,,gemini_b04_c01.xml,303,True,,,,,BAD (redundant),0,1226
gemini,(pre-existing),4,2,,gemini_b04_c02.xml,240,False,,,,,BAD (redundant),0,890
gemini,(pre-existing),5,0,,gemini_b05_c00.xml,316,False,,,,,BAD (redundant),0,1295
gemini,(pre-existing),5,1,,gemini_b05_c01.xml,203,False,,,,,BAD (redundant),0,1206
gemini,(pre-existing),5,2,,gemini_b05_c02.xml,147,False,,,,,BAD (redundant),0,801
gemini,(pre-existing),6,0,,gemini_b06_c00.xml,261,False,,,,,BAD (redundant),0,1152
gemini,(pre-existing),6,1,,gemini_b06_c01.xml,421,True,,,,,BAD (redundant),0,1108
gemini,(pre-existing),6,2,,gemini_b06_c02.xml,204,True,,,,,BAD (redundant),0,915
gemini,(pre-existing),7,0,,gemini_b07_c00.xml,189,False,,,,,BAD (redundant),0,1089
gemini,(pre-existing),7,1,,gemini_b07_c01.xml,293,True,,,,,BAD (redundant),0,983
gemini,(pre-existing),7,2,,gemini_b07_c02.xml,207,True,,,,,BAD (redundant),0,954
gemini,(pre-existing),8,0,,gemini_b08_c00.xml,276,True,,,,,BAD (redundant),0,959
gemini,(pre-existing),8,1,,gemini_b08_c01.xml,501,True,,,,,BAD (redundant),0,1452
gemini,(pre-existing),8,2,,gemini_b08_c02.xml,253,True,,,,,BAD (redundant),0,923
gemini,(pre-existing),9,0,,gemini_b09_c00.xml,449,True,,,,,BAD (redundant),0,1156
gemini,(pre-existing),9,1,,gemini_b09_c01.xml,434,False,,,,,BAD (redundant),0,921
gemini,(pre-existing),9,2,,gemini_b09_c02.xml,345,False,,,,,BAD (redundant),0,1061
