seed,well_formed,status,new_edges,total_edges
claude_fair_b01_c00_wide-entity-fanout.xml,True,BAD (redundant),0,1203
claude_fair_b01_c01_entity-in-attribute-not-content.xml,True,BAD (redundant),0,1331
claude_fair_b01_c02_two-independent-entity-trees.xml,True,BAD (redundant),0,1268
claude_fair_b02_c00_numeric-tag-with-children.xml,True,BAD (redundant),0,840
claude_fair_b02_c01_numeric-attr-values-varied-bases.xml,True,BAD (redundant),0,850
claude_fair_b02_c02_repeated-char-run-in-attr.xml,True,BAD (redundant),0,842
claude_fair_b03_c00_id-idref-cycle.xml,True,GOOD (novel coverage),26,1226
claude_fair_b03_c01_enumerated-attr-values.xml,True,BAD (redundant),0,1242
claude_fair_b03_c02_fixed-and-nmtoken-attrs.xml,True,BAD (redundant),0,1218
claude_fair_b04_c00_default-plus-prefixed-ns.xml,True,BAD (redundant),0,925
claude_fair_b04_c01_ns-shadowing-in-descendant.xml,True,BAD (redundant),0,888
claude_fair_b04_c02_multiple-prefixes-one-element.xml,True,BAD (redundant),0,927
claude_fair_b05_c00_cdata-with-markup-lookalike.xml,True,BAD (redundant),0,761
claude_fair_b05_c01_cdata-plus-entity-sibling.xml,True,BAD (redundant),0,1140
claude_fair_b05_c02_cdata-with-near-terminator.xml,True,BAD (redundant),0,752
claude_fair_b06_c00_comment-around-entity-use.xml,True,BAD (redundant),0,1171
claude_fair_b06_c01_comment-between-siblings.xml,True,BAD (redundant),0,796
claude_fair_b06_c02_comment-before-and-after-root.xml,True,BAD (redundant),0,769
claude_fair_b07_c00_stylesheet-pi.xml,True,BAD (redundant),0,786
claude_fair_b07_c01_custom-pi-mid-tree.xml,True,BAD (redundant),0,808
claude_fair_b07_c02_pi-with-pseudo-attr-syntax.xml,True,BAD (redundant),0,771
claude_fair_b08_c00_entity-driven-attr-plus-nesting.xml,True,BAD (redundant),0,1359
claude_fair_b08_c01_recursive-shape-no-entities.xml,True,BAD (redundant),0,767
claude_fair_b08_c02_attr-list-plus-entity-combo.xml,True,BAD (redundant),0,1395
claude_fair_b09_c00_xmlspace-preserve-block.xml,True,BAD (redundant),0,825
claude_fair_b09_c01_unicode-mixed-scripts.xml,True,BAD (redundant),0,871
claude_fair_b09_c02_long-single-run-no-entities.xml,True,BAD (redundant),0,774
claude_fair_b10_c00_ns-plus-attlist-plus-entity.xml,True,BAD (redundant),0,1549
claude_fair_b10_c01_cdata-plus-pi-plus-comment.xml,True,BAD (redundant),0,855
claude_fair_b10_c02_id-idref-plus-namespace.xml,True,BAD (redundant),0,1278
