timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1784775729,5248,6,0,0,0
1784776029,5271,6,0,0,0
1784776329,5288,6,0,0,0
1784776629,5305,6,0,1,0
1784776929,5309,6,0,1,0
1784777229,5315,6,0,2,0
1784777529,5320,6,0,2,0
1784777829,5324,6,0,2,0
1784778129,5327,6,0,2,0
1784778429,5332,6,0,2,0
1784778729,5333,6,0,3,0
1784779029,5340,6,0,3,0
1784779329,5344,6,0,3,0
1784779629,5346,6,0,4,0
1784779929,5347,6,0,5,0
1784780229,5349,6,0,5,0
1784780530,5353,6,0,5,0
1784780830,5359,6,0,5,0
1784781130,5367,6,0,5,0
1784781430,5369,6,0,5,0
1784781730,5369,6,0,5,300
1784782030,5370,6,0,5,0
1784782330,5370,6,0,5,300
1784782630,5371,6,0,6,0
1784782930,5375,6,0,6,0
1784783230,5376,6,0,6,0
1784783530,5376,6,0,6,300
1784783830,5379,6,0,7,0
1784784130,5379,6,0,7,300
1784784430,5380,6,0,7,0
1784784730,5386,6,0,7,0
1784785030,5386,6,0,7,300
1784785330,5386,6,0,8,600
1784785630,5386,6,0,8,900
1784785930,5388,6,0,8,0
1784786230,5388,6,0,8,300
1784786530,5390,6,0,8,0
1784786830,5390,6,0,8,300
1784787130,5392,6,0,8,0
1784787430,5393,6,0,8,0
1784787730,5395,6,0,8,0
1784788030,5395,6,0,8,300
1784788330,5397,6,0,10,0
1784788630,5398,6,0,10,0
1784788930,5399,6,0,11,0
1784789230,5399,6,0,12,300
1784789530,5401,6,0,12,0
1784789830,5402,6,0,12,0
1784790130,5404,6,0,12,0
1784790430,5404,6,0,12,300
1784790730,5404,6,0,12,600
1784791030,5404,6,0,12,900
1784791330,5413,6,0,12,0
1784791630,5413,6,0,12,300
1784791930,5413,6,0,12,600
1784792230,5414,6,0,13,0
1784792530,5415,6,0,13,0
1784792830,5416,6,0,13,0
1784793130,5419,6,0,13,0
1784793430,5419,6,0,13,300
1784793730,5419,6,0,13,600
1784794030,5420,6,0,13,0
1784794330,5420,6,0,13,300
1784794630,5420,6,0,13,600
1784794930,5421,6,0,13,0
1784795230,5421,6,0,14,300
1784795530,5422,6,0,14,0
1784795830,5422,6,0,14,300
1784796130,5424,6,0,14,0
1784796430,5427,6,0,14,0
1784796730,5431,6,0,14,0
1784797030,5431,6,0,14,300
1784797330,5433,6,0,17,0
1784797630,5433,6,0,18,300
1784797930,5434,6,0,20,0
1784798230,5436,6,0,21,0
1784798530,5436,6,0,21,300
1784798830,5436,6,0,21,600
1784799133,5436,6,0,22,902
1784799433,5436,6,0,23,1202
1784799733,5436,6,0,23,1502
1784800033,5436,6,0,23,1802
1784800333,5437,6,0,23,0
1784850087,5439,6,0,23,0
1784850387,5439,6,0,24,300
1784850687,5439,6,0,24,600
1784850987,5439,6,0,24,900
1784851287,5439,6,0,24,1200
1784851587,5439,6,0,24,1500
1784851887,5439,6,0,24,1800
1784852187,5439,6,0,25,2100
1784852487,5439,6,0,25,2400
1784852787,5441,6,0,25,0
1784853087,5441,6,0,25,300
1784853387,5441,6,0,25,600
1784853687,5441,6,0,25,900
1784853987,5442,6,0,26,0
1784854287,5442,6,0,26,300
1784854587,5442,6,0,26,600
1784854887,5442,6,0,27,900
1784855187,5443,6,0,27,0
1784855487,5443,6,0,28,300
1784855787,5443,6,0,28,600
1784856087,5443,6,0,28,900
1784856387,5443,6,0,28,1200
1784856687,5443,6,0,28,1500
1784856987,5443,6,0,28,1800
1784857287,5443,6,0,28,2100
1784857587,5443,6,0,28,2400
1784857887,5444,6,0,28,0
1784858187,5444,6,0,29,300
1784858487,5444,6,0,29,600
1784858787,5444,6,0,29,900
1784859087,5444,6,0,29,1200
1784859387,5444,6,0,29,1500
1784859687,5444,6,0,30,1800
1784859987,5444,6,0,30,2100
1784860288,5465,6,0,30,0
1784860588,5465,6,0,30,300
1784860888,5465,6,0,30,600
1784861188,5466,6,0,30,0
1784861488,5466,6,0,30,300
1784861788,5466,6,0,31,600
1784862088,5466,6,0,31,900
1784862388,5472,6,0,31,0
1784862688,5472,6,0,31,300
1784862988,5474,6,0,31,0
1784863288,5475,6,0,31,0
1784863588,5475,6,0,32,300
1784863888,5475,6,0,32,600
1784864188,5486,6,0,32,0
1784864488,5493,6,0,32,0
1784864788,5493,6,0,32,300
1784865088,5493,6,0,32,600
1784865388,5494,6,0,32,0
1784865688,5494,6,0,32,300
1784865988,5513,6,0,32,0
1784866288,5513,6,0,32,300
1784866588,5514,6,0,33,0
1784866888,5518,6,0,35,0
1784867188,5532,6,0,35,0
1784867488,5536,6,0,35,0
1784867789,5558,6,0,36,0
1784868089,5577,6,0,36,0
1784879360,5615,6,0,37,0
1784879660,5616,6,0,37,0
1784879960,5616,6,0,37,300
1784880260,5616,6,0,37,600
1784880560,5622,6,0,37,0
1784880860,5625,6,0,37,0
1784881160,5627,6,0,37,0
1784881460,5629,6,0,37,0
1784881760,5629,6,0,37,300
1784882061,5630,6,0,37,0
1784882361,5630,6,0,37,300
1784882661,5631,6,0,37,0
