timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1787203246,2166,6,0,5,0
1787203306,2184,6,0,5,0
1787203366,2192,6,0,5,0
1787203426,2204,6,0,5,0
1787203486,2258,6,0,5,0
1787203546,2268,6,0,5,0
1787203606,2579,6,0,5,0
1787203666,2725,6,0,5,0
1787203726,2730,6,0,5,0
1787203786,2730,6,0,5,60
1787203846,2730,6,0,5,120
1787203906,2730,6,0,5,180
1787203966,2732,6,0,5,0
1787204026,2732,6,0,5,60
1787204086,2734,6,0,6,0
1787204147,2736,6,0,7,0
1787204207,2736,6,0,7,60
1787204267,2748,6,0,7,0
1787204327,2749,6,0,7,0
1787204387,2810,6,0,7,0
1787204447,2810,6,0,7,60
1787204507,2811,6,0,8,0
1787204567,2812,6,0,8,0
1787204627,2826,6,0,8,0
1787204687,2826,6,0,8,60
1787204747,2826,6,0,8,120
1787204807,2827,6,0,8,0
1787204867,2847,6,0,8,0
1787204927,2850,6,0,8,0
1787204987,2905,6,0,8,0
1787205047,3196,6,0,8,0
1787205107,3196,6,0,8,60
1787205167,3196,6,0,8,120
1787205227,3196,6,0,8,180
1787205287,3196,6,0,8,240
1787205347,3199,6,0,8,0
1787205407,3199,6,0,8,60
1787205467,3199,6,0,8,120
1787205527,3199,6,0,8,180
1787205587,3199,6,0,8,240
1787205647,3309,6,0,9,0
1787205707,3309,6,0,9,60
1787205767,3309,6,0,9,120
1787205827,3309,6,0,9,180
1787205887,3310,6,0,9,0
1787205947,3310,6,0,9,60
1787206007,3310,6,0,9,120
1787206067,3310,6,0,9,180
1787206127,3310,6,0,9,240
1787206187,3311,6,0,9,0
1787206247,3311,6,0,9,60
1787206307,3396,6,0,9,0
1787206367,3396,6,0,9,60
1787206427,3397,6,0,9,0
1787206487,3397,6,0,9,60
1787206547,3397,6,0,9,120
1787206607,3397,6,0,9,180
1787206667,3398,6,0,9,0
1787206727,3423,6,0,9,0
1787206787,3423,6,0,9,60
1787206847,3424,6,0,9,0
1787206907,3424,6,0,9,60
1787206967,3460,6,0,9,0
1787207027,3462,6,0,9,0
1787207087,3462,6,0,10,60
1787207147,3462,6,0,10,120
1787207207,3462,6,0,10,180
1787207267,3462,6,0,10,240
1787207327,3462,6,0,11,300
1787207387,3464,6,0,11,0
1787207447,3464,6,0,11,60
1787207507,3466,6,0,11,0
1787207567,3466,6,0,11,60
1787207627,3510,6,0,11,0
1787207687,3510,6,0,11,60
1787207747,3512,6,0,11,0
1787207807,3513,6,0,11,0
1787207867,3513,6,0,11,60
1787207927,3513,6,0,11,120
1787207987,3513,6,0,11,180
1787208047,3513,6,0,11,240
1787208107,3514,6,0,11,0
1787208167,3514,6,0,11,60
1787208227,3515,6,0,11,0
1787208287,3567,6,0,11,0
1787208347,3570,6,0,12,0
1787208407,3576,6,0,12,0
1787208467,3576,6,0,12,60
1787208527,3578,6,0,12,0
1787208587,3579,6,0,12,0
1787208647,3579,6,0,12,60
1787208707,3579,6,0,12,120
1787208767,3579,6,0,12,180
1787208827,3580,6,0,12,0
1787208887,3599,6,0,12,0
1787208947,3606,6,0,12,0
1787209007,3606,6,0,12,60
1787209067,3609,6,0,12,0
1787209127,3612,6,0,12,0
1787209187,3617,6,0,13,0
1787209247,3619,6,0,13,0
1787209307,3619,6,0,13,60
1787209367,3619,6,0,13,120
1787209427,3619,6,0,13,180
1787209487,3619,6,0,13,240
1787209547,3633,6,0,13,0
1787209607,3633,6,0,13,60
1787209667,3633,6,0,13,120
1787209727,3633,6,0,13,180
1787209787,3633,6,0,13,240
1787209847,3633,6,0,13,300
1787209907,3633,6,0,13,360
1787209967,3633,6,0,13,420
1787210027,3634,6,0,13,0
1787210087,3635,6,0,13,0
1787210147,3646,6,0,13,0
1787210207,3646,6,0,13,60
1787210267,3646,6,0,13,120
1787210327,3646,6,0,13,180
1787210387,3646,6,0,13,240
1787210447,3646,6,0,13,300
1787210507,3646,6,0,13,360
1787210567,3646,6,0,14,420
1787210627,3647,6,0,14,0
1787210687,3648,6,0,14,0
1787210747,3648,6,0,15,60
1787210807,3660,6,0,16,0
1787210867,3660,6,0,17,60
1787210927,3660,6,0,17,120
1787210987,3660,6,0,17,180
1787211047,3660,6,0,17,240
1787211107,3661,6,0,17,0
1787211167,3662,6,0,17,0
1787211227,3662,6,0,17,60
1787211287,3668,6,0,17,0
1787211347,3668,6,0,17,60
1787211409,3668,6,0,17,121
1787211469,3678,6,0,17,0
1787211529,3679,6,0,17,0
1787211589,3679,6,0,17,60
1787211649,3679,6,0,17,120
1787211709,3679,6,0,17,180
1787211769,3679,6,0,17,240
1787211829,3679,6,0,17,300
1787211889,3679,6,0,17,360
1787211949,3679,6,0,17,420
1787212009,3679,6,0,17,480
1787212069,3697,6,0,17,0
1787212129,3705,6,0,17,0
1787212189,3707,6,0,17,0
1787212249,3709,6,0,17,0
1787212309,3712,6,0,17,0
1787212369,3712,6,0,17,60
1787212429,3713,6,0,17,0
1787212489,3713,6,0,17,60
1787212549,3714,6,0,17,0
1787212609,3714,6,0,17,60
1787212669,3715,6,0,18,0
1787212729,3715,6,0,18,60
1787212789,3723,6,0,18,0
1787212849,3723,6,0,18,60
1787212909,3723,6,0,18,120
1787212969,3724,6,0,18,0
1787213029,3724,6,0,18,60
1787213089,3725,6,0,18,0
1787213149,3726,6,0,18,0
1787213209,3726,6,0,18,60
1787213269,3726,6,0,18,120
1787213329,3726,6,0,18,180
1787213389,3754,6,0,18,0
1787213449,3754,6,0,18,60
1787213509,3754,6,0,18,120
1787213569,3754,6,0,18,180
1787213629,3754,6,0,18,240
1787213689,3754,6,0,18,300
1787213749,3754,6,0,18,360
1787213809,3754,6,0,18,420
1787213869,3755,6,0,18,0
1787213929,3755,6,0,18,60
1787213989,3755,6,0,18,120
1787214049,3755,6,0,18,180
1787214109,3762,6,0,18,0
1787214169,3762,6,0,18,60
1787214229,3763,6,0,18,0
1787214289,3763,6,0,18,60
1787214349,3764,6,0,18,0
1787214409,3766,6,0,18,0
1787214469,3766,6,0,18,60
1787214529,3766,6,0,18,120
1787214589,3766,6,0,18,180
1787214649,3766,6,0,18,240
1787214709,3775,6,0,18,0
1787214769,3775,6,0,18,60
1787214829,3776,6,0,18,0
1787214889,3776,6,0,18,60
1787214949,3776,6,0,18,120
1787215009,3776,6,0,18,180
1787215069,3776,6,0,18,240
1787215129,3776,6,0,18,300
1787215189,3776,6,0,18,360
