timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1788414043,0,6,0,0,3
1788416387,5858,6,0,337,0
1788416448,5858,6,0,337,60
1788416510,5858,6,0,337,122
1788416570,5858,6,0,337,183
1788416631,5858,6,0,337,244
1788416692,5858,6,0,337,304
1788416752,5858,6,0,337,365
1788416813,5858,6,0,337,425
1788416873,5858,6,0,337,486
1788416934,5858,6,0,337,546
1788416994,5858,6,0,337,606
1788417055,5858,6,0,337,667
1788417116,5858,6,0,337,728
1788417177,5858,6,0,337,789
1788417237,5858,6,0,337,850
1788417298,5858,6,0,337,910
1788417359,5858,6,0,337,971
1788417420,5858,6,0,337,1032
1788417481,5858,6,0,337,1093
1788417542,5858,6,0,337,1154
1788417602,5858,6,0,337,1215
1788417663,5858,6,0,337,1275
1788417724,5858,6,0,337,1336
1788417785,5858,6,0,338,1397
1788417845,5858,6,0,338,1458
1788417906,5858,6,0,338,1518
1788417967,5858,6,0,338,1579
1788418027,5858,6,0,338,1639
1788418088,5858,6,0,338,1700
1788418149,5858,6,0,338,1761
1788418209,5858,6,0,338,1821
1788418269,5858,6,0,338,1882
1788418330,5858,6,0,338,1942
1788418391,5858,6,0,338,2003
1788418452,5858,6,0,338,2064
1788418513,5858,6,0,338,2125
1788418573,5858,6,0,338,2185
1788418634,5858,6,0,338,2246
1788418695,5858,6,0,339,2307
1788418755,5858,6,0,339,2367
1788418816,5858,6,0,339,2428
1788418877,5858,6,0,339,2489
1788418937,5858,6,0,339,2550
1788418998,5858,6,0,339,2610
1788419059,5858,6,0,339,2671
1788419120,5858,6,0,339,2732
1788419180,5858,6,0,339,2793
1788419241,5858,6,0,339,2853
1788419302,5858,6,0,339,2914
1788419363,5858,6,0,339,2975
1788419424,5858,6,0,339,3036
1788419485,5858,6,0,339,3097
1788419545,5858,6,0,340,3158
1788419606,5858,6,0,340,3218
1788419666,5858,6,0,340,3278
1788419727,5858,6,0,340,3339
1788419787,5858,6,0,340,3399
1788419848,5858,6,0,340,3460
1788419909,5858,6,0,340,3521
1788419969,5858,6,0,340,3582
1788420030,5858,6,0,340,3643
1788420091,5858,6,0,340,3704
1788420152,5858,6,0,341,3764
1788420213,5883,6,0,341,0
1788420273,5883,6,0,341,60
1788420334,5883,6,0,341,121
1788420394,5883,6,0,341,181
1788420455,5883,6,0,341,242
1788420516,5883,6,0,341,303
1788420576,5883,6,0,341,363
1788420637,5883,6,0,341,424
1788420698,5883,6,0,341,485
1788420759,5883,6,0,341,546
1788420820,5883,6,0,341,606
1788420880,5883,6,0,341,667
1788420941,5883,6,0,341,728
1788421001,5883,6,0,341,788
1788421062,5883,6,0,341,849
1788421123,5883,6,0,341,910
1788421183,5883,6,0,341,970
1788421244,5883,6,0,341,1031
1788421304,5883,6,0,341,1091
1788421365,5883,6,0,341,1152
1788421426,5883,6,0,341,1213
1788421487,5883,6,0,341,1274
1788421548,5883,6,0,341,1335
1788421609,5883,6,0,341,1396
1788421670,5883,6,0,341,1457
1788421731,5883,6,0,341,1518
1788421791,5883,6,0,341,1578
1788421852,5883,6,0,341,1639
1788421912,5883,6,0,341,1699
1788421973,5883,6,0,341,1760
1788422034,5883,6,0,341,1821
1788422095,5883,6,0,341,1882
1788422155,5883,6,0,341,1942
1788422216,5883,6,0,341,2003
1788422276,5883,6,0,341,2063
1788422337,5883,6,0,341,2124
1788422398,5883,6,0,341,2185
1788422459,5883,6,0,341,2246
1788422519,5883,6,0,341,2306
1788422580,5883,6,0,341,2367
1788422640,5883,6,0,341,2427
1788422701,5883,6,0,341,2488
1788422761,5883,6,0,341,2548
1788422822,5883,6,0,341,2609
1788422883,5883,6,0,341,2670
1788422943,5883,6,0,341,2730
1788423004,5883,6,0,341,2791
1788423064,5883,6,0,341,2851
1788423125,5883,6,0,341,2912
1788423185,5883,6,0,341,2972
1788423246,5883,6,0,341,3033
1788423307,5883,6,0,341,3094
1788423368,5883,6,0,341,3154
1788423428,5883,6,0,341,3215
1788423489,5883,6,0,341,3276
1788423549,5883,6,0,341,3336
1788423609,5883,6,0,341,3396
1788423670,5883,6,0,341,3457
1788423731,5883,6,0,341,3518
1788423791,5883,6,0,341,3578
1788423852,5883,6,0,341,3639
1788423912,5883,6,0,342,3699
1788423973,5883,6,0,342,3760
1788424034,5883,6,0,342,3821
1788424094,5883,6,0,342,3881
1788424154,5883,6,0,342,3941
1788424215,5883,6,0,342,4002
1788424275,5883,6,0,342,4062
1788424336,5883,6,0,342,4123
1788424396,5883,6,0,342,4183
1788424457,5883,6,0,342,4244
1788424517,5883,6,0,342,4304
1788424580,5883,6,0,342,4367
1788424641,5883,6,0,342,4428
1788424701,5883,6,0,342,4488
1788424762,5883,6,0,342,4549
1788424822,5883,6,0,342,4609
1788424883,5883,6,0,342,4670
1788424943,5883,6,0,342,4730
1788425004,5883,6,0,342,4791
1788425064,5883,6,0,342,4851
1788425125,5883,6,0,342,4912
1788425185,5883,6,0,342,4972
1788425246,5883,6,0,342,5033
1788425308,5883,6,0,342,5095
1788425368,5883,6,0,342,5155
1788425430,5883,6,0,342,5216
1788425490,5883,6,0,342,5277
1788425550,5883,6,0,342,5337
1788425611,5883,6,0,342,5398
1788425672,5883,6,0,342,5459
1788425732,5883,6,0,342,5519
1788425793,5883,6,0,342,5579
1788425853,5883,6,0,342,5640
1788425913,5883,6,0,342,5700
1788425974,5883,6,0,342,5761
1788426035,5883,6,0,342,5822
1788426096,5883,6,0,342,5882
1788426156,5883,6,0,342,5943
1788426217,5883,6,0,342,6004
1788426277,5883,6,0,342,6064
1788426338,5883,6,0,342,6125
1788426398,5883,6,0,342,6185
1788426458,5883,6,0,342,6245
1788426519,5883,6,0,342,6306
1788426579,5883,6,0,342,6366
1788426640,5883,6,0,342,6427
1788426700,5883,6,0,342,6487
1788426761,5883,6,0,342,6548
1788426821,5883,6,0,342,6608
1788426882,5883,6,0,342,6669
1788426942,5883,6,0,342,6729
1788427003,5883,6,0,342,6790
1788427064,5883,6,0,342,6851
1788427125,5883,6,0,342,6912
1788427186,5883,6,0,342,6973
1788427246,5883,6,0,342,7033
