timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1788740618,3779,1,0,0,0
1788740678,4114,5,0,0,0
1788740738,4218,6,0,0,0
1788740798,4244,6,0,0,0
1788740858,4317,6,0,0,0
1788740918,4370,6,0,0,0
1788740978,4424,6,0,0,0
1788741038,4601,6,0,0,0
1788741098,4614,6,0,0,0
1788741158,4640,6,0,0,0
1788741218,4817,6,0,0,0
1788741278,4817,6,0,0,60
1788741338,4817,6,0,0,120
1788741398,4817,6,0,0,180
1788741458,4817,6,0,0,240
1788741518,4817,6,0,0,300
1788741578,4817,6,0,0,360
1788741638,4817,6,0,0,420
1788741698,4817,6,0,0,480
1788741758,4817,6,0,0,540
1788741818,4817,6,0,0,600
1788741878,4908,6,0,0,0
1788741938,4914,6,0,0,0
1788741998,4916,6,0,0,0
1788742058,4919,6,0,0,0
1788742118,4919,6,0,0,60
1788742178,5005,6,0,0,0
1788742238,5012,6,0,0,0
1788742298,5017,6,0,0,0
1788742358,5026,6,0,0,0
1788742418,5076,6,0,0,0
1788742478,5122,6,0,0,0
1788742538,5128,6,0,0,0
1788742598,5129,6,0,1,0
1788742658,5132,6,0,1,0
1788742718,5143,6,0,1,0
1788742778,5147,6,0,1,0
1788742838,5156,6,0,1,0
1788742898,5165,6,0,1,0
1788742958,5166,6,0,1,0
1788743018,5173,6,0,1,0
1788743078,5173,6,0,1,60
1788743138,5204,6,0,1,0
1788743198,5225,6,0,1,0
1788743258,5228,6,0,1,0
1788743318,5251,6,0,2,0
1788743378,5253,6,0,2,0
1788743438,5256,6,0,2,0
1788743498,5261,6,0,2,0
1788743558,5264,6,0,2,0
1788743618,5264,6,0,2,60
1788743678,5264,6,0,2,120
1788743738,5286,6,0,3,0
1788743798,5288,6,0,3,0
1788743858,5307,6,0,3,0
1788743918,5313,6,0,3,0
1788743978,5314,6,0,3,0
1788744038,5315,6,0,4,0
1788744098,5316,6,0,4,0
1788744158,5316,6,0,4,60
1788744218,5316,6,0,4,120
1788744278,5316,6,0,5,180
1788744338,5321,6,0,5,0
1788744398,5322,6,0,5,0
1788744458,5323,6,0,5,0
1788744518,5325,6,0,5,0
1788744578,5326,6,0,5,0
1788744638,5327,6,0,5,0
1788744698,5329,6,0,5,0
1788744758,5329,6,0,5,60
1788744818,5329,6,0,5,120
1788744878,5329,6,0,5,180
1788744938,5329,6,0,5,240
1788744998,5329,6,0,5,300
1788745058,5329,6,0,5,360
1788745118,5329,6,0,5,420
1788745178,5330,6,0,5,0
1788745238,5330,6,0,5,60
1788745298,5330,6,0,5,120
1788745358,5330,6,0,5,180
1788745418,5330,6,0,5,240
1788745478,5330,6,0,5,300
1788745538,5330,6,0,5,360
1788745598,5334,6,0,5,0
1788745658,5334,6,0,5,60
1788745718,5334,6,0,5,120
1788745778,5334,6,0,5,180
1788745838,5335,6,0,5,0
1788745899,5336,6,0,5,0
1788745959,5336,6,0,5,60
1788746019,5337,6,0,5,0
1788746079,5337,6,0,5,60
1788746139,5337,6,0,6,120
1788746199,5339,6,0,6,0
1788746259,5339,6,0,6,60
1788746319,5339,6,0,6,120
1788746379,5339,6,0,6,180
1788746439,5339,6,0,6,240
1788746499,5339,6,0,6,300
1788746559,5340,6,0,6,0
1788746619,5340,6,0,6,60
1788746679,5340,6,0,6,120
1788746739,5340,6,0,6,180
1788746799,5344,6,0,6,0
1788746859,5344,6,0,6,60
1788746919,5345,6,0,6,0
1788746979,5346,6,0,6,0
1788747039,5346,6,0,6,60
1788747099,5347,6,0,6,0
1788747159,5348,6,0,6,0
1788747219,5351,6,0,6,0
1788747279,5352,6,0,6,0
1788747339,5352,6,0,6,60
1788747399,5353,6,0,6,0
1788747459,5353,6,0,6,60
1788747519,5353,6,0,7,120
1788747579,5353,6,0,7,180
1788747639,5353,6,0,7,240
1788747699,5353,6,0,7,300
1788747759,5355,6,0,7,0
1788747819,5355,6,0,7,60
1788747879,5355,6,0,7,120
1788747939,5355,6,0,7,180
1788747999,5357,6,0,7,0
1788748059,5357,6,0,7,60
1788748119,5357,6,0,7,120
1788748179,5361,6,0,7,0
1788748239,5362,6,0,7,0
1788748299,5362,6,0,7,60
1788748359,5362,6,0,7,120
1788748419,5362,6,0,7,180
1788748479,5364,6,0,7,0
1788748539,5366,6,0,7,0
1788748599,5366,6,0,7,60
1788748659,5366,6,0,7,120
1788748719,5366,6,0,7,180
1788748779,5366,6,0,7,240
1788748839,5366,6,0,7,300
1788748899,5366,6,0,7,360
1788748959,5366,6,0,7,420
1788749019,5366,6,0,7,480
1788749079,5367,6,0,7,0
1788749139,5367,6,0,7,60
1788749199,5367,6,0,7,120
1788749259,5367,6,0,7,180
1788749319,5367,6,0,7,240
1788749379,5367,6,0,7,300
1788749439,5367,6,0,7,360
1788749499,5367,6,0,7,420
1788749559,5367,6,0,7,480
1788749619,5368,6,0,7,0
1788749679,5369,6,0,7,0
1788749739,5369,6,0,7,60
1788749799,5369,6,0,7,120
1788749859,5373,6,0,7,0
1788749919,5373,6,0,7,60
1788749979,5373,6,0,7,120
1788750039,5373,6,0,7,180
1788750099,5373,6,0,7,240
1788750159,5373,6,0,7,300
1788750219,5373,6,0,7,360
1788750279,5373,6,0,7,420
1788750339,5373,6,0,7,480
1788750399,5376,6,0,7,0
1788750459,5376,6,0,7,60
1788750519,5376,6,0,7,120
1788750579,5376,6,0,7,180
1788750639,5376,6,0,7,240
1788750699,5376,6,0,7,300
1788750759,5376,6,0,7,360
1788750819,5377,6,0,7,0
1788750879,5378,6,0,7,0
1788750939,5378,6,0,7,60
1788750999,5380,6,0,7,0
1788751059,5380,6,0,7,60
1788751119,5380,6,0,7,120
1788751179,5380,6,0,7,180
1788751239,5380,6,0,7,240
1788751299,5380,6,0,7,300
1788751359,5380,6,0,7,360
1788751419,5380,6,0,7,420
1788751479,5380,6,0,7,480
1788751539,5380,6,0,7,540
1788751599,5380,6,0,7,600
1788751659,5380,6,0,7,660
1788751719,5380,6,0,7,720
1788751779,5391,6,0,7,0
1788751839,5393,6,0,7,0
1788751899,5394,6,0,7,0
1788751959,5394,6,0,7,60
1788752019,5394,6,0,7,120
1788752079,5395,6,0,7,0
1788752139,5395,6,0,7,60
1788752199,5395,6,0,7,120
1788752259,5395,6,0,7,180
1788752320,5395,6,0,7,240
1788752380,5395,6,0,7,300
1788752440,5395,6,0,7,360
1788752500,5395,6,0,7,420
1788752560,5395,6,0,7,480
1788752620,5395,6,0,7,540
1788752680,5395,6,0,7,600
1788752740,5396,6,0,7,0
1788752800,5396,6,0,7,60
1788752860,5396,6,0,8,120
1788752920,5397,6,0,8,0
1788752980,5397,6,0,8,60
1788753040,5397,6,0,8,120
1788753100,5397,6,0,8,180
1788753160,5397,6,0,8,240
1788753220,5397,6,0,8,300
1788753280,5397,6,0,8,360
1788753340,5398,6,0,8,0
1788753400,5398,6,0,8,60
1788753460,5398,6,0,8,120
1788753520,5399,6,0,8,0
1788753580,5399,6,0,8,60
1788753640,5399,6,0,8,120
1788753700,5399,6,0,8,180
1788753760,5399,6,0,8,240
1788753820,5399,6,0,9,300
1788753880,5400,6,0,9,0
1788753940,5400,6,0,9,60
1788754000,5400,6,0,9,120
1788754060,5400,6,0,9,180
1788754120,5400,6,0,9,240
1788754180,5400,6,0,9,300
1788754240,5400,6,0,9,360
1788754300,5400,6,0,9,420
1788754360,5400,6,0,9,480
1788754420,5400,6,0,9,540
1788754480,5400,6,0,9,600
1788754540,5401,6,0,9,0
1788754600,5401,6,0,9,60
1788754660,5401,6,0,9,120
1788754720,5401,6,0,9,180
1788754780,5401,6,0,9,240
1788754840,5401,6,0,9,300
1788754900,5401,6,0,9,360
1788754960,5401,6,0,9,420
1788755020,5401,6,0,9,480
1788755080,5401,6,0,9,540
1788755140,5401,6,0,9,600
1788755200,5401,6,0,9,660
1788755260,5401,6,0,9,720
1788755320,5401,6,0,9,780
1788755380,5401,6,0,9,840
1788755440,5402,6,0,9,0
1788755500,5402,6,0,9,60
1788755560,5402,6,0,9,120
1788755620,5402,6,0,9,180
1788755680,5402,6,0,9,240
1788755740,5402,6,0,9,300
1788755800,5402,6,0,9,360
1788755860,5402,6,0,9,420
1788755920,5402,6,0,9,480
1788755980,5402,6,0,9,540
1788756040,5402,6,0,9,600
1788756100,5403,6,0,9,0
1788756160,5403,6,0,9,60
1788756220,5403,6,0,9,120
1788756280,5403,6,0,9,180
1788756340,5403,6,0,9,240
1788756400,5403,6,0,9,300
1788756460,5403,6,0,9,360
1788756520,5403,6,0,9,420
1788756580,5403,6,0,9,480
1788756640,5403,6,0,9,540
1788756700,5403,6,0,9,600
1788756760,5403,6,0,9,660
1788756821,5403,6,0,9,720
1788756881,5403,6,0,9,780
1788756941,5403,6,0,9,840
1788757001,5403,6,0,9,900
1788757061,5403,6,0,9,960
1788757121,5403,6,0,9,1020
1788757181,5403,6,0,9,1080
1788757241,5403,6,0,9,1140
1788757301,5403,6,0,9,1200
1788757361,5403,6,0,9,1260
1788757421,5403,6,0,9,1320
1788757481,5403,6,0,9,1380
1788757541,5403,6,0,9,1440
1788757601,5403,6,0,9,1500
1788757661,5403,6,0,9,1560
1788757721,5403,6,0,9,1620
1788757781,5403,6,0,9,1680
1788757841,5403,6,0,9,1740
1788757901,5403,6,0,9,1800
1788757961,5403,6,0,9,1860
1788758021,5411,6,0,9,0
1788758081,5411,6,0,9,60
1788758141,5411,6,0,9,120
1788758201,5411,6,0,9,180
1788758261,5411,6,0,9,240
1788758321,5411,6,0,9,300
1788758381,5411,6,0,9,360
1788758441,5411,6,0,9,420
1788758501,5411,6,0,9,480
1788758561,5411,6,0,9,540
1788758621,5411,6,0,9,600
1788758681,5411,6,0,9,660
1788758741,5411,6,0,9,720
1788758801,5411,6,0,9,780
1788758861,5414,6,0,9,0
1788758921,5414,6,0,9,60
1788758981,5414,6,0,9,120
1788759041,5414,6,0,9,180
1788759101,5414,6,0,9,240
1788759161,5414,6,0,9,300
1788759221,5414,6,0,9,360
1788759281,5414,6,0,9,420
1788759341,5414,6,0,9,480
1788759401,5414,6,0,9,540
1788759461,5415,6,0,9,0
1788759521,5415,6,0,9,60
1788759581,5415,6,0,9,120
1788759641,5415,6,0,9,180
1788759701,5415,6,0,9,240
1788759761,5415,6,0,9,300
1788759821,5415,6,0,9,360
1788759881,5415,6,0,9,420
1788759941,5415,6,0,9,480
1788760001,5415,6,0,9,540
1788760061,5415,6,0,9,600
1788760121,5415,6,0,9,660
1788760181,5416,6,0,9,0
1788760241,5416,6,0,9,60
1788760301,5416,6,0,9,120
1788760361,5416,6,0,9,180
1788760421,5416,6,0,9,240
1788760481,5416,6,0,9,300
1788760541,5416,6,0,9,360
1788760601,5416,6,0,9,420
1788760662,5416,6,0,10,480
1788760722,5416,6,0,10,540
1788760782,5416,6,0,10,600
1788760842,5416,6,0,11,660
1788760902,5416,6,0,11,720
1788760962,5417,6,0,11,0
1788761022,5417,6,0,11,60
1788761082,5417,6,0,11,120
1788761142,5417,6,0,11,180
1788761202,5417,6,0,11,240
1788761262,5417,6,0,11,300
1788761322,5417,6,0,11,360
1788761382,5417,6,0,11,420
1788761442,5417,6,0,11,480
1788761502,5417,6,0,11,540
1788761562,5417,6,0,11,600
1788761622,5417,6,0,11,660
1788761682,5417,6,0,11,720
1788761742,5417,6,0,11,780
1788761802,5417,6,0,11,840
1788761862,5417,6,0,11,900
