timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1788788548,1699,1,0,0,0
1788788608,1701,5,0,0,0
1788788668,1701,5,0,0,60
1788788728,1708,5,0,0,0
1788788788,1717,5,0,0,0
1788788848,1717,5,0,0,60
1788788908,1717,5,0,0,120
1788788968,1717,5,0,0,180
1788789028,1717,5,0,0,240
1788789088,1725,5,0,0,0
1788789148,1725,5,0,0,60
1788789208,1725,5,0,0,120
1788789268,1725,5,0,0,180
1788789328,1725,5,0,0,240
1788789388,1725,5,0,0,300
1788789448,1725,5,0,0,360
1788789508,1725,5,0,0,420
1788789568,1725,5,0,0,480
1788789628,1725,5,0,0,540
1788789688,1725,5,0,0,600
1788789748,1725,5,0,0,660
1788789808,1725,5,0,0,720
1788789868,1725,5,0,0,780
1788789928,1725,5,0,0,840
1788789988,1725,5,0,0,900
1788790048,1725,5,0,0,960
1788790108,1725,5,0,0,1020
1788790168,1725,5,0,0,1080
1788790228,1725,5,0,0,1140
1788790288,1725,5,0,0,1200
1788790348,1725,5,0,0,1260
1788790408,1725,5,0,0,1320
1788790469,1725,5,0,0,1381
1788790529,1725,5,0,0,1441
1788790589,1725,5,0,0,1501
1788790649,1725,5,0,0,1561
1788790709,1725,5,0,0,1621
1788790769,1725,5,0,0,1681
1788790829,1725,5,0,0,1741
1788790889,1725,5,0,0,1801
1788790949,1725,5,0,0,1861
1788791009,1725,5,0,0,1921
1788791069,1725,5,0,0,1981
1788791129,1725,5,0,0,2041
1788791190,1725,5,0,0,2101
1788791250,1725,5,0,0,2162
1788791310,1725,5,0,0,2222
1788791370,1725,5,0,0,2282
1788791430,1725,5,0,0,2342
1788791490,1725,5,0,0,2402
1788791550,1725,5,0,0,2462
1788791610,1725,5,0,0,2522
1788791670,1725,5,0,0,2582
1788791731,1725,5,0,0,2642
1788791791,1725,5,0,0,2703
1788791851,1725,5,0,0,2763
1788791911,1725,5,0,0,2823
1788791971,1725,5,0,0,2883
1788792031,1725,5,0,0,2943
1788792091,1725,5,0,0,3003
1788792151,1725,5,0,0,3063
1788792211,1725,5,0,0,3123
1788792271,1725,5,0,0,3183
1788792331,1725,5,0,0,3243
1788792391,1725,5,0,0,3303
1788792451,1725,5,0,0,3363
1788792511,1725,5,0,0,3423
1788792572,1725,5,0,0,3484
1788792632,1725,5,0,0,3544
1788792692,1725,5,0,0,3604
1788792753,1725,5,0,0,3664
1788792813,1725,5,0,0,3724
1788792873,1725,5,0,0,3784
1788792933,1725,5,0,0,3845
1788792993,1725,5,0,0,3905
1788793053,1725,5,0,0,3965
1788793113,1725,5,0,0,4025
1788793174,1725,5,0,0,4085
1788793234,1725,5,0,0,4145
1788793294,1725,5,0,0,4206
1788793354,1725,5,0,0,4266
1788793414,1725,5,0,0,4326
1788793474,1725,5,0,0,4386
1788793534,1725,5,0,0,4446
1788793594,1725,5,0,0,4506
1788793654,1725,5,0,0,4566
1788793714,1725,5,0,0,4626
1788793774,1725,5,0,0,4686
1788793834,1725,5,0,0,4746
1788793894,1725,5,0,0,4806
1788793954,1725,5,0,0,4866
1788794014,1725,5,0,0,4926
1788794074,1725,5,0,0,4986
1788794134,1725,5,0,0,5046
1788794194,1725,5,0,0,5106
1788794254,1725,5,0,0,5166
1788794314,1725,5,0,0,5226
1788794374,1725,5,0,0,5286
1788794434,1725,5,0,0,5346
1788794494,1725,5,0,0,5406
1788794554,1725,5,0,0,5466
1788794614,1725,5,0,0,5526
1788794674,1725,5,0,0,5586
1788794734,1725,5,0,0,5646
1788794794,1725,5,0,0,5706
1788794854,1725,5,0,0,5766
1788794914,1725,5,0,0,5826
1788794974,1725,5,0,0,5886
1788795034,1725,5,0,0,5946
1788795094,1725,5,0,0,6006
1788795154,1725,5,0,0,6066
1788795214,1725,5,0,0,6126
1788795274,1725,5,0,0,6186
1788795334,1725,5,0,0,6246
1788795394,1725,5,0,0,6306
1788795454,1725,5,0,0,6366
1788795514,1725,5,0,0,6426
1788795574,1725,5,0,0,6486
1788795634,1725,5,0,0,6546
1788795694,1725,5,0,0,6606
1788795754,1725,5,0,0,6666
1788795814,1725,5,0,0,6726
1788795874,1725,5,0,0,6786
1788795934,1725,5,0,0,6846
1788795994,1725,5,0,0,6906
1788796054,1725,5,0,0,6966
1788796114,1725,5,0,0,7026
1788796174,1725,5,0,0,7086
1788796234,1725,5,0,0,7146
1788796294,1725,5,0,0,7206
1788796354,1725,5,0,0,7266
1788796414,1725,5,0,0,7326
1788796474,1725,5,0,0,7386
1788796534,1725,5,0,0,7446
1788796594,1725,5,0,0,7506
1788796655,1725,5,0,0,7566
1788796715,1725,5,0,0,7626
1788796775,1725,5,0,0,7686
1788796835,1725,5,0,0,7746
1788796895,1725,5,0,0,7806
1788796955,1725,5,0,0,7866
1788797015,1725,5,0,0,7926
1788797075,1725,5,0,0,7986
1788797135,1725,5,0,0,8046
1788797195,1725,5,0,0,8106
1788797255,1725,5,0,0,8166
1788797315,1725,5,0,0,8226
1788797375,1725,5,0,0,8287
1788797435,1725,5,0,0,8347
1788797495,1725,5,0,0,8407
