timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1788832713,1705,1,0,0,0
1788832773,1708,2,0,0,0
1788832833,1709,6,0,0,0
1788832893,1712,6,0,0,0
1788832953,1712,6,0,0,60
1788833013,1712,6,0,0,120
1788833073,1713,6,0,0,0
1788833133,1713,6,0,0,60
1788833193,1714,6,0,0,0
1788833253,1725,6,0,0,0
1788833313,1725,6,0,0,60
1788833373,1725,6,0,0,120
1788833433,1725,6,0,0,180
1788833493,1725,6,0,0,240
1788833553,1725,6,0,0,300
1788833613,1725,6,0,0,360
1788833673,1725,6,0,0,420
1788833733,1725,6,0,0,480
1788833793,1725,6,0,0,540
1788833853,1725,6,0,0,600
1788834194,1725,6,0,0,0
1788834254,1725,6,0,0,60
1788834314,1725,6,0,0,120
1788834374,1725,6,0,0,180
1788834434,1725,6,0,0,240
1788834495,1725,6,0,0,300
1788834555,1725,6,0,0,360
